NR, 1, 2, 3, 4, 5, 6, 7, 8
71,13,8,23,7,38,30,2,50
72,14,10,23,6,38,30,2,51
73,14,14,24,6,38,30,2,51
74,14,16,23,6,38,29,2,51
75,14,18,22,6,39,29,2,51
76,16,14,22,7,39,29,2,52
77,18,14,22,7,39,29,3,52
78,16,10,22,7,39,29,3,52
79,16,11,22,7,39,29,2,52
80,16,12,22,7,39,29,2,52
81,17,13,22,7,39,29,2,52
82,15,11,22,7,39,30,2,52
83,16,12,22,7,39,30,3,51
84,14,9,23,7,40,30,3,52
85,14,6,23,6,41,30,3,51
86,14,9,24,6,41,30,3,51
87,12,11,24,6,40,30,3,51
88,12,12,24,6,41,29,3,52
89,14,8,24,6,40,30,4,53
90,15,9,24,7,40,30,4,53
91,11,12,24,7,40,29,3,53
92,8,9,24,7,40,29,2,53
93,8,8,25,7,40,29,3,53
94,8,9,25,7,40,28,3,53
95,8,10,26,7,40,28,3,52
96,7,11,26,7,40,28,3,52
97,6,8,26,7,40,27,2,52
98,6,8,26,7,40,27,3,52
99,6,9,26,6,41,28,3,51
100,6,11,26,6,40,28,3,51
101,6,10,27,6,41,28,3,51
102,6,14,26,6,41,28,3,51
103,6,17,26,6,40,28,3,51
104,6,13,26,6,41,27,3,51
105,8,16,26,6,41,27,2,49
106,8,10,26,5,41,27,3,49
107,8,15,27,5,40,26,2,49
108,8,16,27,5,40,27,2,49
109,8,12,28,5,41,26,2,49
110,8,8,28,5,41,27,2,50
111,8,11,28,5,41,27,1,50
112,10,9,29,6,41,27,2,51
113,10,8,29,5,41,27,2,51
114,10,12,30,5,41,27,2,50
115,8,8,31,6,41,28,3,53
116,7,10,30,5,41,28,2,53
117,6,10,30,6,40,27,2,52
118,6,11,29,7,40,27,2,52
119,6,9,29,6,40,29,2,51
120,7,13,28,6,40,28,3,52
121,6,11,27,6,41,28,3,52
122,6,14,27,7,41,28,3,52
123,6,10,28,6,41,27,3,52
124,6,6,29,7,41,27,4,52
125,6,7,30,7,41,27,3,52
126,6,6,31,6,41,28,4,51
127,6,9,31,6,42,28,4,50
128,5,9,31,5,42,29,3,49
129,4,12,31,6,42,29,3,48
130,4,13,31,6,42,28,3,48
131,4,14,30,6,42,29,3,48
132,4,16,27,5,42,29,3,49
133,6,21,27,5,42,29,3,52
134,6,21,26,5,42,29,3,52
135,6,14,26,5,42,29,3,52
136,8,10,26,6,41,29,4,54
137,7,12,27,6,41,28,3,54
138,6,12,27,6,41,29,3,53
139,6,11,28,6,41,28,3,53
140,6,10,28,5,41,28,3,52
141,6,12,29,5,41,28,2,53
142,6,8,29,5,41,28,2,53
143,6,8,29,5,41,28,2,52
144,7,8,30,5,41,27,2,50
145,6,10,30,4,41,27,3,52
146,6,11,31,4,41,28,3,52
147,6,13,31,4,41,28,3,52
148,6,14,31,4,41,28,3,52
149,6,19,31,4,41,28,3,52
150,7,10,32,4,41,29,3,52
151,7,9,33,4,40,29,2,53
152,6,10,33,3,40,29,3,52
153,6,16,32,4,40,29,2,52
154,6,16,31,3,40,29,3,52
155,8,18,31,4,40,29,2,53
156,8,18,31,4,41,29,2,53
157,8,16,32,4,41,28,2,53
158,8,8,32,4,41,29,3,53
159,7,12,32,4,42,28,2,52
160,6,7,33,5,42,28,2,50
161,4,6,34,5,41,28,3,45
162,4,7,34,4,41,29,3,45
163,4,11,35,5,41,28,3,45
